,,ref_size,ref_size,ref_size,ref_size,ref_size,unified_size,unified_size,unified_size,unified_size,unified_size
algo,,dal,dsb,ll,mcsplit,rl,dal,dsb,ll,mcsplit,rl
instance_a,instance_b,,,,,,,,,,
003.txt,012.txt,43.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
003.txt,013.txt,237.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
003.txt,014.txt,890.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
003.txt,015.txt,140.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
003.txt,017.txt,164.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
003.txt,018.txt,429.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
003.txt,019.txt,1356.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
003.txt,021.txt,160.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
003.txt,022.txt,86.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
003.txt,023.txt,170.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
003.txt,025.txt,247.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0
003.txt,026.txt,65.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
003.txt,027.txt,167.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
003.txt,028.txt,148.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
003.txt,029.txt,913.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0
003.txt,030.txt,177.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
003.txt,031.txt,342.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
003.txt,032.txt,246.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
003.txt,033.txt,342.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
003.txt,034.txt,118.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
003.txt,035.txt,91.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
003.txt,037.txt,100.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
003.txt,038.txt,79.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
003.txt,041.txt,70.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
003.txt,042.txt,123.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
003.txt,044.txt,214.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
003.txt,045.txt,29.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
003.txt,046.txt,64.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
003.txt,048.txt,310.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
003.txt,049.txt,1272.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
003.txt,051.txt,504.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
003.txt,053.txt,43.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
003.txt,055.txt,198.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
003.txt,056.txt,292.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
003.txt,057.txt,90.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
003.txt,058.txt,69.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
003.txt,059.txt,84.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
003.txt,061.txt,325.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
003.txt,062.txt,50.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0
003.txt,063.txt,4712.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
003.txt,064.txt,300.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
003.txt,065.txt,158.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
003.txt,066.txt,60.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
003.txt,067.txt,60.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
003.txt,068.txt,102.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
003.txt,069.txt,56.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
003.txt,070.txt,526.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
003.txt,071.txt,180.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
003.txt,072.txt,372.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
003.txt,073.txt,265.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
003.txt,074.txt,324.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
003.txt,075.txt,135.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
003.txt,077.txt,64.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
003.txt,078.txt,265.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
003.txt,079.txt,359.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
003.txt,080.txt,87.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
003.txt,081.txt,315.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
003.txt,082.txt,87.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
003.txt,083.txt,324.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
003.txt,084.txt,56.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
003.txt,085.txt,116.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
003.txt,086.txt,172.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
003.txt,087.txt,301.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
003.txt,088.txt,1096.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
003.txt,089.txt,246.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
003.txt,090.txt,267.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
003.txt,091.txt,92.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
003.txt,092.txt,150.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0
003.txt,093.txt,323.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
003.txt,094.txt,319.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
003.txt,095.txt,295.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
003.txt,096.txt,282.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
003.txt,097.txt,282.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
003.txt,099.txt,49.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
003.txt,100.txt,77.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
003.txt,101.txt,198.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
003.txt,102.txt,123.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
003.txt,103.txt,187.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
003.txt,105.txt,1090.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
003.txt,106.txt,286.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
003.txt,107.txt,134.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
003.txt,108.txt,63.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
003.txt,109.txt,398.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
003.txt,111.txt,141.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
003.txt,112.txt,92.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
003.txt,116.txt,46.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
003.txt,120.txt,344.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
003.txt,121.txt,64.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
003.txt,122.txt,124.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
003.txt,123.txt,124.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
003.txt,125.txt,481.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
003.txt,126.txt,81.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
003.txt,137.txt,125.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
003.txt,139.txt,203.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
003.txt,140.txt,203.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
003.txt,143.txt,79.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
