,,ref_size,ref_size,ref_size,ref_size,ref_size,ref_size,unified_size,unified_size,unified_size,unified_size,unified_size,unified_size,
algo,,dal,dsb,ll,mcsplit,rl,rrsplit,dal,dsb,ll,mcsplit,rl,rrsplit,
instance_a,instance_b,,,,,,,,,,,,,
087.txt,111.txt,30,,,,,28,28,28,28,28,28,28,28
087.txt,112.txt,21,20,20,20,20,20,20,20,20,20,20,20,20
087.txt,120.txt,13,12,12,12,12,12,12,12,12,12,12,12,12
087.txt,171.txt,34,,,,,33,33,33,33,33,33,33,33
087.txt,196.txt,24,23,23,23,23,23,23,23,23,23,23,23,23
088.txt,108.txt,24,23,,23,,23,23,23,23,23,23,23,23
089.txt,108.txt,23,22,22,22,22,22,22,22,22,22,22,22,22
089.txt,111.txt,29,,,,,27,27,27,27,27,27,27,27
089.txt,112.txt,20,19,19,19,19,19,19,19,19,19,19,19,19
089.txt,170.txt,24,23,23,23,23,23,23,23,23,23,23,23,23
089.txt,171.txt,34,32,32,32,32,32,32,32,32,32,32,32,32
089.txt,196.txt,23,22,22,22,22,22,22,22,22,22,22,22,22
090.txt,091.txt,34,,,,,33,33,33,33,33,33,33,33
090.txt,100.txt,16,15,15,15,15,15,15,15,15,15,15,15,15
090.txt,107.txt,34,,,,,33,33,33,33,33,,33,33
090.txt,108.txt,23,22,22,22,22,22,22,22,22,22,22,22,22
090.txt,157.txt,10,9,9,9,9,9,9,9,9,9,9,9,9
090.txt,158.txt,10,9,9,9,9,9,9,9,9,9,9,9,9
090.txt,159.txt,10,9,9,9,9,9,9,9,9,9,9,9,9
090.txt,168.txt,15,14,14,14,14,14,14,14,14,14,14,14,14
090.txt,169.txt,33,,,,,32,32,32,32,32,32,32,32
090.txt,170.txt,24,23,23,23,23,23,23,23,23,23,23,23,23
090.txt,171.txt,32,,,,,31,31,31,31,31,31,31,31
090.txt,196.txt,23,22,22,22,22,22,22,22,22,22,22,22,22
091.txt,111.txt,28,27,27,27,27,27,27,27,27,27,27,27,27
091.txt,143.txt,31,30,30,30,30,30,30,30,30,30,30,30,30
093.txt,100.txt,16,15,15,15,15,15,15,15,15,15,15,15,15
094.txt,100.txt,16,15,15,15,15,15,15,15,15,15,15,15,15
094.txt,148.txt,16,15,15,15,15,15,15,15,15,15,15,15,15
094.txt,196.txt,24,23,23,23,23,23,23,23,23,23,23,23,23
095.txt,099.txt,20,19,19,19,19,19,19,19,19,19,19,19,19
095.txt,108.txt,23,,,,,22,22,22,22,22,22,22,22
095.txt,112.txt,20,19,19,19,19,19,19,19,19,19,19,19,19
